id,title,price,price_per_sqm,rooms,area_total,area_living,area_kitchen,floor,floors_total,district,address,metro,year_built,house_type,deal_type,property_type,description,url,source,label,collected_at
cia_17f41e6f,"Студия, 21 м², 3/19 этаж",26000.0,,0.0,21.0,,,3.0,19.0,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/327709039/?context=3.QsitE81tauI.PU5pfgB_EMewvZBZuTm6jBoJfZVDGg6Dsza_U3KuwXvV3zBp0X4NkQcKk_ZpTlvAcbDgQGYXZcao9g&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.082506
cia_35abd3a6,Видовая однушка у парка,36000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327318662/?context=3.CTmcU20aGUg.arAdKIbFZkFoWgeNkFa3o0hbgIskz6E3AdViFiva0ysDQXxzXiYT3biOV4u7eP6AR1fVcBBE3ECcmA&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.084067
cia_b3a9a95f,"Студия, 25 м², 4/8 этаж",23000.0,,0.0,25.0,,,4.0,8.0,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/319553363/?context=3.xyowzM8ei4U.rnc0_ejpjaobnvIytYpegIZ1wLP3Wb7-ACDgTdvwp_QVD1IUxa1ulJxJvlecNIG0pcZp16Ud4wxHIg&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.085090
cia_d49b42a0,"1-комн. квартира, 39 м², 3/9 этаж",31000.0,,1.0,39.0,,,3.0,9.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327420878/?context=3._tvDXpUsEzI.-ds5XeBqKu_rklkkg-WO5oPG-5DxdAZBeupjkYMtZYKeGLr6r2mTAh-QLRSBLcRT8Lnb52Y5DJjj4A&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.086049
cia_3cdc2745,Просторная видовая евродвушка,40000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/297001754/?context=3.OigWJXm4-rg.QnD7MWBhHGqXsICmmQhOdejpKvYPUlfJPA8V6QDDWtj-QaPlVIBiomWiqPgn3OlF7_niRevNS5SJ7Q&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.086950
cia_9eca3a9f,"2-комн. квартира, 76 м², 5/6 этаж",140000.0,,2.0,76.0,,,5.0,6.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/316033112/?context=3.b9dT1u8oS-k.MM-lJ3aJ_X_HdH3CnxhEYztI3mG0M9agfQLDN4oDsqoCZDbMTm_grnBz_3UcY00oCW8hY5dgq9SzVw&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.087791
cia_4c811f17,"2-комн. квартира, 56 м², 2/19 этаж",55000.0,,2.0,56.0,,,2.0,19.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/326998832/?context=3.Z18y0VXvqYc.8Tfj9ottxFuyDm2_brU0oqoavYsHx2YYNHFl7qzL0em9pTtL_SDXbofLyT8ztSlnoxEWlhM0PoLpjA&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.088721
cia_a8c55663,"1-комн. квартира, 39 м², 9/17 этаж",37000.0,,1.0,39.0,,,9.0,17.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/309893277/?context=3.3JKryRp9NLQ.Tkq21KGhjdwKp4qSJUFRtj9gFhhg4R10Mxj3zbx6_NPjAYbrvCkvl1VHXgT_l1AGXUPeGBvhMA3emg&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.089660
cia_bbdf8fea,"1-комн. квартира, 45 м², 1/5 этаж",70000.0,,1.0,45.0,,,1.0,5.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327701334/?context=3.PqA48hxlCQs.l9OgUDi9UltiEpsLBu3AKGHS3O4vDZpGjYITPLiq4s9dQQ3R2jSyXxV0GbhEgTZbfMNZdXKuOUZ8hQ&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.090575
cia_b8e8dd37,чистая тихая удобное расположене,45000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/310451432/?context=3.49VEfSLRbMw.OPKjLILuyRdij6XwjAwZvFpdHd8updDEU98zw1a-b1cC39AlZeTHiwFpD3IppwEXdLeF8xmv2zSFfg&mlSearchSessionGuid=66c965cd8ba4f6e2e9489f221b66050f,cian,sale_apartment,2026-03-15T10:49:38.091502
